,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
95,5J2CHimS7dWYMImCHkEFaJ,A Hard Day's Night - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,154200,65,0.137,0.59,0.805,0.0,0.0996,-6.481,0.0371,138.514,4,0.797,1960
96,6mv76kovZyVB0UHbqUsee0,Proud Mary,Bayou Country (40th Anniversary Edition),Creedence Clearwater Revival,1969-01-05,187213,0,0.13,0.699,0.641,0.000218,0.0601,-7.564,0.0289,120.745,4,0.728,1960
97,7DD7eSuYSC5xk2ArU62esN,Help! - Remastered 2009,Help! (Remastered),The Beatles,1965-08-06,139560,68,0.188,0.534,0.725,0.0,0.0994,-7.576,0.0332,95.003,4,0.763,1960
98,5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,Please Please Me (Remastered),The Beatles,1963-03-22,155226,73,0.641,0.482,0.849,7.74e-06,0.0414,-9.198,0.0452,124.631,4,0.937,1960
99,2gE95JskwQ1pCACTpGe1Db,Down On The Corner,Willy And The Poor Boys (Expanded Edition),Creedence Clearwater Revival,1969-11-02,166280,70,0.583,0.858,0.544,0.00109,0.0707,-9.289,0.0751,108.217,4,0.874,1960
4,5JT7CoUSGNk7mMNkHMQjqr,Love Me Do - Mono / Remastered,1 (Remastered),The Beatles,2000-11-13,140173,0,0.404,0.524,0.88,0.000191,0.154,-3.865,0.0987,148.058,4,0.758,1960
5,11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Very Best of The Everly Brothers,The Everly Brothers,1964-08-01,123520,59,0.318,0.709,0.62,0.0,0.0426,-9.382,0.034,93.723,4,0.936,1960
10,5zWehIgPMCGysidrvbltlU,I'm A Man,I'm A Man / I Can't Get Enough Of It,The Spencer Davis Group,1967,176160,0,0.038,0.55,0.929,0.0,0.135,-5.765,0.0815,129.011,4,0.643,1960
15,2CT08rpgdut8qQs7IAzMGi,Friday On My Mind,Easy,The Easybeats,1965-01-01,163293,56,0.38,0.374,0.991,0.000719,0.0929,-1.101,0.0813,95.105,4,0.51,1960
17,1WPqawIF9HCKfSOt7mN6X0,Nowhere To Run,Dance Party,Martha Reeves & The Vandellas,1965-01-01,181640,60,0.104,0.606,0.815,0.00566,0.0515,-9.377,0.0485,129.34,4,0.877,1960
18,5jsxE1nDuRrEgN9gmbWWYS,Playboy,Playboy,The Marvelettes,1962-01-01,164840,40,0.371,0.863,0.691,0.0,0.0597,-5.611,0.0535,123.757,4,0.916,1960
