,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
22,4QJ1F5dFjDTnoHgew9cdRr,Sweet Happy Life,Guitars A La Lee,Peggy Lee,1966-10-01,129066,50,0.609,0.698,0.409,0.0,0.385,-12.878,0.0352,140.824,4,0.897,1960
23,770bUE65sXIhYuLNGm4CIL,Love Letters,You Can Have Him: Ketty Lester Sings Love Letters and Other Greats,Ketty Lester,2012-09-19,156734,34,0.766,0.567,0.218,0.605,0.179,-18.003,0.0328,64.412,3,0.271,1960
24,6Udg88zGCFc2xA9M4EavzH,My Cherie Amour,My Cherie Amour,Stevie Wonder,1969-08-01,173306,0,0.282,0.57,0.523,2.69e-06,0.248,-11.052,0.0277,101.137,4,0.508,1960
25,2MAMKyVDaei008snxzXzT8,It Was A Very Good Year,September Of My Years (Expanded Edition),Frank Sinatra,1965-08,267240,0,0.867,0.184,0.141,0.0,0.116,-15.369,0.0316,81.779,4,0.135,1960
26,3Iu3Son3ekg7w963I3OJFx,Wichita Lineman,The Very Best Of Glen Campbell,Glen Campbell,1987-01-01,188666,0,0.517,0.361,0.368,0.000305,0.0935,-13.489,0.0295,84.218,4,0.378,1960
27,5Zu9mG353GB3p26t7M5AmR,Trust In Me,At Last!,Etta James,1960,178466,54,0.776,0.486,0.377,0.0,0.39,-6.777,0.0309,64.033,4,0.5,1960
28,4Y6pdMS2PwGshq1MYcJ9fC,I Will Follow You,For Your Sweet Love,Ricky Nelson,1963-01-01,146133,55,0.758,0.671,0.442,1.63e-05,0.108,-11.595,0.0332,120.774,4,0.749,1960
29,27hhIs2fp6w06N5zx4Eaa5,Dream A Little Dream Of Me,The Papas & The Mamas,The Mamas & The Papas,1968-05-01,194426,69,0.791,0.413,0.313,1.5e-06,0.0727,-13.138,0.0519,92.515,4,0.349,1960
30,4NhFqirjszwBSFdOG7swnf,Make It Easy On Yourself,Take It Easy With The Walker Brothers,The Walker Brothers,1965,194133,0,0.696,0.363,0.536,0.00179,0.0927,-9.003,0.0368,81.537,4,0.347,1960
31,7oSUp4yZ0FbuSvVmCxH2ty,Something - Remastered,Abbey Road (Remastered),The Beatles,1969-09-26,182293,1,0.198,0.396,0.338,2.62e-06,0.138,-10.872,0.0304,133.522,4,0.377,1960
32,0CczH75yFBo53bVqLRvYn4,Till There Was You - Remastered,Latin Ala Lee,Peggy Lee,1960-01-04,151973,55,0.858,0.674,0.195,5.4e-05,0.324,-19.334,0.0341,100.101,4,0.594,1960
33,4VijLEUxHEzbWKYL5u9wuN,You Send Me,Aretha Now,Aretha Franklin,1968-06-14,149626,60,0.57,0.512,0.303,0.0,0.0803,-13.547,0.0374,102.908,4,0.629,1960
34,3NW1YMA8kfNVTzGJCGBS8m,Both Sides Now,Clouds,Joni Mitchell,1969-05-01,274560,0,0.912,0.623,0.156,0.0,0.141,-15.098,0.0308,97.235,4,0.329,1960
35,3cVWNLd0uEHkc2tnBoE3Ay,Somethin' Stupid,The World We Knew,Frank Sinatra,1967-08,162493,0,0.753,0.262,0.328,0.0,0.227,-12.897,0.0376,207.074,4,0.533,1960
36,6hgY1l6EqrfrHRNrxwKRiK,Love Hurts - 2007 Remaster,A Date with The Everly Brothers,The Everly Brothers,1960-10,142306,48,0.846,0.65,0.246,5.07e-06,0.186,-16.171,0.0263,91.04,4,0.539,1960
37,3EFb1qDgIqf9MegIryKtDj,"Monday, Monday - Single Version",If You Can Believe Your Eyes & Ears,The Mamas & The Papas,1966-03,208293,59,0.742,0.488,0.464,0.0,0.57,-9.496,0.0284,109.853,4,0.709,1960
38,3zpj9dvJABiyMrmLCPw6i8,Crazy - Single Version,Showcase,Patsy Cline,1961-11-27,164573,63,0.931,0.471,0.021,1.19e-06,0.103,-24.385,0.0366,107.796,3,0.356,1960
